"","genera","Order","Family","Subfamily","col_label"
"138","Microcylloepus","Coleoptera","Elmidae","","Coleoptera"
"139","Paratendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"140","Probezzia","Diptera","Ceratopogonidae","Ceratopogoninae","Diptera, Non-chironomid"
"141","Climacia","Neuroptera","Sisyridae","","Neuroptera"
"142","Sialis","Megaloptera","Sialidae","","Megaloptera"
"143","Cleptelmis","Coleoptera","Elmidae","","Coleoptera"
"144","Dixa","Diptera","Dixidae","","Diptera, Non-chironomid"
"145","Hydraena","Coleoptera","Hydraenidae","","Coleoptera"
"146","Narpus","Coleoptera","Elmidae","","Coleoptera"
"147","Ametor","Coleoptera","Hydrophilidae","","Coleoptera"
"148","Isogenoides","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"149","Megarcys","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"150","Neoplasta","Diptera","Empididae","Hemerodromiinae","Diptera, Non-chironomid"
"151","Heterotrissocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"152","Plumiperla","Plecoptera","Chloroperlidae","Chloroperlinae","Plecoptera"
"153","Paracladopelma","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"154","Krenosmittia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"155","Pseudodiamesa","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"156","Corydalus","Megaloptera","Corydalidae","Corydalinae","Megaloptera"
"157","Endotribelos","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"158","Smicridea","Trichoptera","Hydropsychidae","Smicrideinae","Trichoptera"
"159","Ambrysus","Hemiptera","Naucoridae","Ambrysinae","Hemiptera"
"160","Camelobaetidius","Ephemeroptera","Baetidae","","Ephemeroptera"
"161","Lutrochus","Coleoptera","Lutrochidae","","Coleoptera"
"162","Neocylloepus","Coleoptera","Elmidae","","Coleoptera"
"163","Tabanus","Diptera","Tabanidae","","Diptera, Non-chironomid"
"164","Lopescladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"165","Hydrobaenus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"166","Parapsyche","Trichoptera","Hydropsychidae","Arctopsychinae","Trichoptera"
"167","Traverella","Ephemeroptera","Leptophlebiidae","","Ephemeroptera"
"168","Larsia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"169","Ochthebius","Coleoptera","Hydraenidae","","Coleoptera"
"170","Cercobrachys","Ephemeroptera","Caenidae","","Ephemeroptera"
"171","Stylogomphus","Odonata","Gomphidae","","Odonata"
"172","Cryptotendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"173","Dasyhelea","Diptera","Ceratopogonidae","Dasyheleinae","Diptera, Non-chironomid"
"174","Procambarus","Decapoda","Cambaridae","Cambarinae","Decapoda"
"175","Laccobius","Coleoptera","Hydrophilidae","","Coleoptera"
"176","Krenopelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"177","Helophorus","Coleoptera","Helophoridae","","Coleoptera"
"178","Orconectes","Decapoda","Cambaridae","Cambarinae","Decapoda"
"179","Robackia","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"180","Taeniopteryx","Plecoptera","Taeniopterygidae","Taeniopteryginae","Plecoptera"
"181","Allocapnia","Plecoptera","Capniidae","Capniinae","Plecoptera"
"182","Lype","Trichoptera","Psychomyiidae","Psychomyiinae","Trichoptera"
"183","Tallaperla","Plecoptera","Peltoperlidae","Peltoperlinae","Plecoptera"
"184","Psectrocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"185","Psilotreta","Trichoptera","Odontoceridae","Odontocerinae","Trichoptera"
"186","Chernovskiia","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"187","Coelotanypus","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"188","Paracapnia","Plecoptera","Capniidae","Capniinae","Plecoptera"
